Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10026,2023-06-10,2023-06-11,Second Class,Customer_270,Home Office,Central,Florida,Furniture,Tables,55.32,11.0,0.15,
ORD-10027,2024-04-04,2024-04-09,Standard Class,Customer_232,Consumer,South,Michigan,Office Supplies,Art,56.85,4.0,0.0,18.68
ORD-10028,2023-11-10,2023-11-16,Standard Class,Customer_90,Consumer,South,Illinois,Office Supplies,Art,,9.0,0.2,7.6
ORD-10029,2023-01-22,2023-01-26,Second Class,Customer_45,Consumer,South,Georgia,Technology,Phones,151.96,1.0,0.2,45.13
ORD-10030,2023-09-10,2023-09-16,Standard Class,Customer_155,Consumer,West,Georgia,Office Supplies,Paper,76.91,11.0,0.15,22.42
ORD-10031,2024-07-14,2024-07-17,Standard Class,Customer_97,Consumer,South,Illinois,Office Supplies,Art,119.14,2.0,,20.06
ORD-10032,2024-04-19,2024-04-24,Second Class,Customer_53,Home Office,East,Pennsylvania,Office Supplies,Labels,13.3,14.0,0.3,1.48
ORD-10033,2023-02-28,2023-03-05,First Class,Customer_210,Corporate,East,Washington,Office Supplies,Art,136.56,4.0,0.0,56.82
ORD-10034,2024-05-25,2024-05-30,Standard Class,Customer_9,Corporate,South,Michigan,Office Supplies,Labels,85.47,3.0,0.0,30.5
ORD-10035,2024-11-12,2024-11-15,Standard Class,Customer_32,Corporate,Central,California,Office Supplies,Binders,130.47,1.0,0.0,39.54
ORD-10036,2024-04-20,2024-04-23,First Class,Customer_63,Consumer,South,California,Technology,Phones,367.78,,0.5,-52.44
ORD-10037,2024-11-30,2024-12-06,Standard Class,Customer_221,Consumer,East,Washington,Office Supplies,Art,183.93,7.0,0.1,53.49
ORD-10038,2023-07-09,2023-07-11,Second Class,Customer_169,Home Office,East,Florida,Office Supplies,Storage,64.83,2.0,0.2,13.16
ORD-10039,2024-11-17,2024-11-23,,Customer_250,Home Office,East,Michigan,Technology,Phones,,5.0,0.15,89.72
ORD-10040,2024-07-16,2024-07-20,Standard Class,Customer_150,Home Office,Central,Texas,Office Supplies,Paper,60.93,6.0,0.0,8.56
ORD-10041,2024-07-20,2024-07-21,Second Class,Customer_291,Home Office,Central,Georgia,Office Supplies,Art,11.15,11.0,0.0,2.75
ORD-10042,2023-09-01,2023-09-06,Standard Class,Customer_65,Consumer,Central,Ohio,Furniture,Tables,,7.0,0.0,177.99
ORD-10043,2024-05-19,2024-05-21,Standard Class,Customer_280,Consumer,East,Texas,Technology,Copiers,133.44,1.0,0.1,11.95
ORD-10044,2023-05-11,2023-05-12,Standard Class,Customer_25,Consumer,West,Ohio,Furniture,Bookcases,122.43,7.0,0.0,54.45
ORD-10045,2024-04-29,2024-05-01,First Class,Customer_296,Consumer,South,Georgia,Office Supplies,Storage,6.84,4.0,0.0,2.96
ORD-10046,2024-10-08,2024-10-14,Second Class,Customer_222,Consumer,South,California,Furniture,Bookcases,50.19,8.0,0.3,4.18
ORD-10047,2023-01-21,2023-01-24,Standard Class,Customer_33,Consumer,East,Illinois,Office Supplies,Storage,117.42,13.0,0.4,4.44
ORD-10048,2023-06-16,2023-06-21,Standard Class,Customer_297,Corporate,Central,Pennsylvania,Office Supplies,Storage,44.99,4.0,0.0,17.65
ORD-10049,2023-10-01,2023-10-07,Second Class,Customer_45,Home Office,West,New York,Furniture,Chairs,372.83,6.0,0.0,127.01
ORD-10050,2024-01-23,2024-01-24,First Class,Customer_263,Corporate,West,Florida,Furniture,Chairs,572.96,9.0,0.0,137.56
ORD-10051,2024-08-23,2024-08-24,Second Class,Customer_16,Home Office,Central,Washington,Furniture,Tables,152.5,5.0,0.15,44.59
ORD-10052,2023-11-12,2023-11-13,Standard Class,Customer_205,Consumer,South,California,Office Supplies,Labels,30.28,14.0,0.3,5.83
ORD-10053,2023-01-14,2023-01-15,Second Class,Customer_51,Consumer,South,Illinois,Office Supplies,Paper,104.21,12.0,0.0,26.4
ORD-10054,2023-08-30,2023-08-31,Second Class,Customer_166,Corporate,West,Illinois,Office Supplies,Art,35.42,4.0,0.0,8.4
ORD-10055,2023-12-12,2023-12-14,Standard Class,Customer_90,Consumer,West,Ohio,Office Supplies,Art,123.52,8.0,0.2,19.65
ORD-10056,2024-07-18,2024-07-24,Standard Class,Customer_29,Consumer,Central,Illinois,Office Supplies,Binders,49.92,13.0,0.15,8.23
ORD-10057,2023-12-06,2023-12-11,Standard Class,Customer_52,Consumer,South,Michigan,Furniture,Bookcases,683.78,9.0,0.0,247.25
ORD-10058,2023-04-02,2023-04-05,Second Class,Customer_29,Consumer,West,Florida,Office Supplies,Art,36.16,4.0,0.15,
ORD-10059,2024-01-02,2024-01-05,Standard Class,Customer_197,Corporate,South,New York,Technology,Phones,944.56,3.0,0.0,160.9
ORD-10060,2024-03-30,2024-04-05,Second Class,Customer_239,Consumer,West,California,Office Supplies,Labels,,8.0,0.1,5.72
ORD-10061,2024-03-03,2024-03-09,First Class,Customer_259,Corporate,Central,Michigan,Office Supplies,Paper,68.43,14.0,0.2,9.41
ORD-10062,2024-05-23,2024-05-26,First Class,Customer_228,Corporate,South,California,Office Supplies,Labels,33.82,5.0,0.2,7.13
ORD-10063,2023-02-04,2023-02-07,First Class,Customer_262,Consumer,West,Pennsylvania,Office Supplies,Storage,48.83,2.0,,15.11
ORD-10064,2023-07-25,2023-07-27,Same Day,Customer_47,Consumer,West,New York,Office Supplies,Storage,84.34,10.0,0.4,4.12
ORD-10065,2023-03-22,2023-03-26,Standard Class,Customer_151,Consumer,West,Illinois,Furniture,Bookcases,257.28,9.0,0.1,68.17
ORD-10066,2024-07-15,2024-07-20,Second Class,Customer_117,Consumer,West,Pennsylvania,Furniture,Chairs,530.97,3.0,0.2,102.82
ORD-10067,2024-01-23,2024-01-24,Standard Class,Customer_266,Corporate,Central,Ohio,Furniture,Furnishings,565.98,12.0,0.1,160.24
ORD-10068,2023-01-02,2023-01-06,First Class,Customer_83,Corporate,South,Pennsylvania,Technology,Accessories,345.56,2.0,0.3,10.22
ORD-10069,2024-01-25,2024-01-31,Standard Class,Customer_212,Corporate,South,Texas,Office Supplies,Storage,86.69,1.0,0.3,-5.26
ORD-10070,2024-07-19,2024-07-22,Same Day,Customer_21,Consumer,East,Ohio,Furniture,Tables,234.53,14.0,0.0,59.21
ORD-10071,2023-04-16,2023-04-20,Second Class,Customer_217,Corporate,South,New York,Furniture,Tables,328.23,8.0,0.4,-6.02
ORD-10072,2024-04-21,2024-04-26,First Class,Customer_183,Corporate,East,Florida,Office Supplies,Storage,77.84,11.0,0.3,1.33
ORD-10073,2024-12-03,2024-12-09,Standard Class,Customer_27,Consumer,West,Texas,Furniture,Furnishings,181.71,3.0,,19.49
ORD-10074,2024-02-06,2024-02-07,Standard Class,Customer_55,Corporate,Central,California,Office Supplies,Storage,12.86,7.0,0.0,6.35
ORD-10075,2024-12-30,2024-12-31,First Class,Customer_209,Consumer,Central,Washington,Technology,Accessories,190.9,1.0,,45.57
ORD-10076,2024-07-09,2024-07-14,Standard Class,Customer_207,Corporate,West,Washington,Office Supplies,Storage,33.78,1.0,0.3,2.02
ORD-10077,2023-06-11,2023-06-16,First Class,Customer_70,Corporate,East,Texas,Office Supplies,Paper,101.63,12.0,0.0,41.04
ORD-10078,2023-07-21,2023-07-24,Standard Class,Customer_22,Consumer,West,Florida,Technology,Accessories,288.48,9.0,0.4,-12.58
ORD-10079,2023-09-27,2023-09-28,Second Class,Customer_20,Corporate,Central,Michigan,Office Supplies,Storage,87.99,12.0,0.0,31.58
ORD-10080,2023-09-28,2023-10-04,Standard Class,Customer_135,Consumer,Central,Washington,Furniture,Chairs,18.74,8.0,0.0,7.22
ORD-10081,2024-03-31,2024-04-04,Second Class,Customer_39,Consumer,South,Texas,Office Supplies,Labels,19.04,12.0,0.1,4.31
ORD-10082,2024-04-06,2024-04-12,Second Class,Customer_299,Home Office,East,New York,Technology,Accessories,266.51,13.0,0.15,42.69
ORD-10083,2024-12-27,2024-12-29,Standard Class,Customer_210,Home Office,South,Georgia,Technology,Accessories,980.01,3.0,0.15,306.66
ORD-10084,2023-09-09,2023-09-11,,Customer_5,Consumer,Central,Florida,Office Supplies,Labels,56.5,6.0,0.0,22.55
ORD-10085,2024-12-02,2024-12-07,Standard Class,Customer_241,Consumer,Central,Florida,Furniture,Tables,120.52,11.0,0.4,-22.94
ORD-10086,2023-10-23,2023-10-26,Second Class,Customer_157,Consumer,South,Michigan,Technology,Phones,58.95,3.0,0.0,17.48
ORD-10087,2024-12-25,2024-12-27,Standard Class,Customer_147,Consumer,South,Ohio,Technology,Phones,473.65,13.0,0.0,136.17
ORD-10088,2024-12-20,2024-12-21,Second Class,Customer_196,Home Office,Central,Illinois,Office Supplies,Paper,23.04,12.0,0.0,6.92
ORD-10089,2023-12-04,2023-12-10,Standard Class,Customer_168,Home Office,South,Washington,Technology,Copiers,212.23,4.0,0.15,60.27
ORD-10090,2023-02-22,2023-02-28,Standard Class,Customer_43,Corporate,South,Illinois,Technology,Phones,149.83,1.0,0.4,-8.47
ORD-10091,2023-08-05,2023-08-10,,Customer_3,Consumer,East,Illinois,Office Supplies,Storage,23.38,5.0,0.15,2.43
ORD-10092,2023-07-07,2023-07-11,Standard Class,Customer_232,Corporate,Central,New York,Office Supplies,Art,15.97,1.0,,0.79
ORD-10093,2024-01-15,2024-01-20,Standard Class,Customer_32,Consumer,West,California,Office Supplies,Paper,48.5,13.0,0.0,19.08
ORD-10094,2024-05-07,2024-05-11,Same Day,Customer_36,Home Office,East,Illinois,Furniture,Furnishings,344.86,1.0,0.1,83.6
ORD-10095,2023-02-10,2023-02-15,First Class,Customer_120,Home Office,West,Florida,Office Supplies,Binders,23.85,10.0,0.1,4.97
ORD-10096,2023-06-06,2023-06-11,Standard Class,Customer_97,Corporate,South,Michigan,Office Supplies,Binders,150.57,11.0,0.1,43.14
ORD-10097,2023-01-15,2023-01-20,Second Class,Customer_95,Consumer,South,Michigan,Technology,Phones,551.05,11.0,0.0,264.2
ORD-10098,2023-03-06,2023-03-10,First Class,Customer_226,Consumer,West,Georgia,Technology,Phones,45.3,14.0,0.15,11.41
ORD-10099,2024-06-04,2024-06-08,Standard Class,Customer_6,Consumer,South,California,Office Supplies,Storage,55.34,7.0,0.1,20.15
ORD-10100,2023-12-10,2023-12-15,Standard Class,Customer_224,Home Office,South,Ohio,Furniture,Bookcases,365.2,12.0,0.2,45.21
ORD-10101,2023-05-09,2023-05-11,Standard Class,Customer_160,Consumer,East,Florida,Office Supplies,Art,65.03,6.0,0.1,16.86
ORD-10102,2024-10-09,2024-10-12,Standard Class,Customer_88,Consumer,West,Florida,Furniture,Chairs,281.63,2.0,0.0,97.93
ORD-10103,2024-04-16,2024-04-19,Same Day,Customer_278,Consumer,East,Georgia,Office Supplies,Labels,84.99,14.0,0.15,19.08
ORD-10104,2023-03-04,2023-03-07,Second Class,Customer_82,Home Office,West,Pennsylvania,Office Supplies,Art,106.41,11.0,0.0,40.99
ORD-10105,2023-05-19,2023-05-23,Standard Class,Customer_275,Consumer,East,Georgia,Technology,Phones,553.73,12.0,0.3,3.59
ORD-10106,2024-05-13,2024-05-17,Standard Class,Customer_6,Home Office,Central,Illinois,Office Supplies,Labels,121.53,2.0,0.15,32.42
ORD-10107,2024-08-15,2024-08-17,First Class,Customer_124,Home Office,Central,Texas,Technology,Phones,718.51,11.0,,157.91
ORD-10108,2024-01-27,2024-01-30,First Class,Customer_231,Home Office,West,Michigan,Technology,Phones,,7.0,0.4,-36.67
ORD-10109,2024-11-05,2024-11-08,Second Class,Customer_91,Consumer,Central,Georgia,Office Supplies,Labels,64.81,1.0,0.1,27.92
ORD-10110,2024-02-23,2024-02-28,Second Class,Customer_62,Consumer,East,Illinois,Technology,Accessories,568.82,13.0,0.0,175.87
ORD-10111,2023-10-16,2023-10-20,Standard Class,Customer_95,Consumer,West,Washington,Office Supplies,Labels,103.57,2.0,0.15,28.31
ORD-10112,2024-01-14,2024-01-17,First Class,Customer_145,Consumer,Central,California,Office Supplies,Labels,46.25,12.0,0.0,22.47
ORD-10113,2024-05-04,2024-05-10,First Class,Customer_180,Consumer,Central,Florida,Office Supplies,Storage,61.04,8.0,0.2,-0.93
ORD-10114,2023-08-19,2023-08-21,Standard Class,Customer_23,Corporate,West,Pennsylvania,Office Supplies,Storage,7.57,6.0,0.2,1.97
ORD-10115,2023-02-10,2023-02-16,Second Class,Customer_74,Consumer,Central,California,Office Supplies,Storage,35.59,14.0,0.5,-1.71
ORD-10116,2023-01-28,2023-02-03,Standard Class,Customer_152,Home Office,Central,Illinois,Office Supplies,Paper,5.0,2.0,,1.96
ORD-10117,2023-05-15,2023-05-17,Standard Class,Customer_124,Consumer,West,Ohio,Office Supplies,Paper,22.68,7.0,0.1,3.75
ORD-10118,2023-07-20,2023-07-26,Standard Class,Customer_24,Corporate,Central,Washington,Office Supplies,Labels,28.2,4.0,0.2,8.07
ORD-10119,2023-02-02,2023-02-05,Standard Class,Customer_239,Corporate,Central,Illinois,Office Supplies,Storage,75.58,2.0,0.0,21.98
ORD-10120,2023-02-17,2023-02-21,Standard Class,Customer_165,Corporate,Central,Texas,Office Supplies,Paper,26.25,12.0,0.1,9.04
ORD-10121,2024-05-17,2024-05-19,,Customer_245,Home Office,Central,New York,Office Supplies,Binders,48.6,6.0,,12.49
ORD-10122,2024-02-11,2024-02-16,Standard Class,Customer_249,Corporate,South,Illinois,Office Supplies,Labels,65.09,11.0,0.0,26.8
ORD-10123,2024-07-27,2024-08-02,Standard Class,Customer_153,Home Office,West,Georgia,Furniture,Tables,276.79,9.0,0.1,73.05
ORD-10124,2024-12-28,2024-12-30,Standard Class,Customer_152,Consumer,South,Illinois,Office Supplies,Art,30.97,11.0,0.3,-2.08
ORD-10125,2023-04-09,2023-04-10,Standard Class,Customer_139,Consumer,South,Georgia,Furniture,Chairs,798.96,9.0,0.3,-135.54
ORD-10126,2024-11-14,2024-11-15,Second Class,Customer_182,Consumer,East,Ohio,Office Supplies,Art,88.45,14.0,0.0,32.44
ORD-10127,2024-12-26,2024-12-30,Standard Class,Customer_202,Consumer,South,Florida,Office Supplies,Storage,45.12,8.0,0.0,14.84
ORD-10128,2024-06-30,2024-07-03,Standard Class,Customer_135,Consumer,South,Michigan,Office Supplies,Art,36.2,3.0,0.0,13.82
ORD-10129,2024-09-04,2024-09-08,First Class,Customer_158,Consumer,East,New York,Office Supplies,Storage,63.25,3.0,0.3,3.78
ORD-10130,2024-04-06,2024-04-10,Second Class,Customer_8,Consumer,Central,Ohio,Technology,Phones,470.97,2.0,0.0,240.87
ORD-10131,2024-10-04,2024-10-08,First Class,Customer_134,Consumer,Central,Georgia,Technology,Copiers,,5.0,0.2,-661.02
ORD-10132,2023-01-05,2023-01-09,Standard Class,Customer_176,Consumer,South,Michigan,Technology,Machines,230.69,14.0,0.0,72.49
ORD-10133,2023-08-06,2023-08-11,Standard Class,Customer_149,Home Office,East,Texas,Technology,Copiers,32.13,12.0,0.15,7.78
ORD-10134,2024-05-17,2024-05-22,Second Class,Customer_33,Consumer,Central,California,Furniture,Chairs,366.05,,0.1,82.62
ORD-10135,2024-02-02,2024-02-04,Standard Class,Customer_17,Corporate,East,New York,Furniture,Bookcases,145.55,4.0,0.2,25.83
ORD-10136,2024-01-28,2024-01-29,Standard Class,Customer_10,Consumer,West,Pennsylvania,Office Supplies,Labels,133.98,7.0,0.0,33.84
ORD-10137,2023-07-26,2023-07-30,Standard Class,Customer_182,Home Office,West,Ohio,Office Supplies,Paper,18.37,4.0,0.15,3.94
ORD-10138,2023-01-15,2023-01-17,First Class,Customer_183,Home Office,West,California,Office Supplies,Storage,37.57,9.0,0.0,11.71
ORD-10139,2024-07-07,2024-07-08,Standard Class,Customer_31,Corporate,West,California,Office Supplies,Art,131.2,12.0,,10.52
ORD-10140,2024-04-05,2024-04-11,First Class,Customer_122,Corporate,South,Illinois,Office Supplies,Storage,37.38,12.0,0.3,8.9
ORD-10141,2024-11-21,2024-11-24,First Class,Customer_10,Consumer,West,Illinois,Office Supplies,Labels,25.14,2.0,0.0,6.62
ORD-10142,2024-07-28,2024-08-02,Standard Class,Customer_60,Home Office,West,Pennsylvania,Office Supplies,Binders,103.37,11.0,0.3,8.33
ORD-10143,2023-08-29,2023-09-04,Second Class,Customer_230,Home Office,East,Pennsylvania,Office Supplies,Storage,1064.87,14.0,0.15,192.85
ORD-10144,2024-07-17,2024-07-18,Second Class,Customer_91,Home Office,Central,Georgia,Technology,Copiers,60.85,6.0,0.0,22.74
ORD-10145,2023-04-06,2023-04-12,First Class,Customer_47,Corporate,East,Pennsylvania,Office Supplies,Paper,96.11,7.0,0.1,15.19
ORD-10146,2024-04-29,2024-05-02,Standard Class,Customer_100,Consumer,South,California,Technology,Copiers,684.58,4.0,0.0,285.63
ORD-10147,2024-02-11,2024-02-12,,Customer_70,Home Office,West,Georgia,Furniture,Tables,255.8,13.0,0.2,85.15
ORD-10148,2023-08-19,2023-08-25,Standard Class,Customer_23,Consumer,Central,Michigan,Technology,Phones,140.37,6.0,0.2,14.44
ORD-10149,2024-10-16,2024-10-21,Same Day,Customer_64,Corporate,Central,Florida,Office Supplies,Paper,137.35,7.0,0.0,61.44
ORD-10150,2023-06-20,2023-06-25,Standard Class,Customer_161,Consumer,,Florida,Office Supplies,Storage,5.0,4.0,,1.15
ORD-10151,2024-06-24,2024-06-26,Standard Class,Customer_122,Home Office,West,Florida,Furniture,Chairs,143.85,8.0,0.2,41.78
ORD-10152,2023-02-05,2023-02-11,First Class,Customer_123,Consumer,South,New York,Office Supplies,Labels,84.16,9.0,0.4,13.89
ORD-10153,2024-06-08,2024-06-12,,Customer_102,Consumer,South,New York,Furniture,Furnishings,47.03,1.0,0.1,11.35
ORD-10154,2023-06-09,2023-06-15,Second Class,Customer_31,Corporate,West,Pennsylvania,Furniture,Furnishings,230.19,7.0,0.4,-30.3
ORD-10155,2024-11-29,2024-11-30,Standard Class,Customer_25,Corporate,West,Florida,Office Supplies,Labels,44.18,9.0,0.1,14.84
ORD-10156,2023-08-31,2023-09-01,Standard Class,Customer_245,Corporate,West,Texas,Office Supplies,Binders,119.72,12.0,0.1,33.28
ORD-10157,2023-03-27,2023-04-02,Same Day,Customer_146,Consumer,West,Illinois,Office Supplies,Labels,84.45,10.0,0.3,10.15
ORD-10158,2024-07-31,2024-08-03,First Class,Customer_299,Consumer,Central,Texas,Technology,Copiers,665.62,5.0,0.1,154.96
ORD-10159,2024-11-12,2024-11-17,First Class,Customer_10,Corporate,South,Florida,Office Supplies,Storage,8.83,12.0,0.1,1.67
ORD-10160,2024-07-10,2024-07-11,Standard Class,Customer_102,Home Office,West,Florida,Office Supplies,Storage,40.61,2.0,0.1,14.33
ORD-10161,2024-07-27,2024-08-01,Standard Class,Customer_33,Corporate,West,Illinois,Furniture,Chairs,404.35,10.0,0.3,42.69
ORD-10162,2024-10-07,2024-10-08,Second Class,Customer_62,Consumer,Central,Florida,Office Supplies,Paper,106.57,6.0,0.3,-3.78
ORD-10163,2023-01-28,2023-01-30,First Class,Customer_112,Home Office,East,Ohio,Office Supplies,Storage,13.69,12.0,0.1,4.31
ORD-10164,2024-09-11,2024-09-15,Standard Class,Customer_174,Consumer,West,California,Technology,Accessories,288.89,12.0,0.0,112.35
ORD-10165,2024-07-09,2024-07-10,First Class,Customer_98,Corporate,Central,Georgia,Technology,Phones,1239.82,7.0,0.1,290.09
ORD-10166,2023-12-06,2023-12-11,Standard Class,Customer_72,Consumer,Central,Illinois,Office Supplies,Art,26.9,2.0,0.15,9.27
ORD-10167,2023-11-27,2023-11-29,Standard Class,Customer_147,Consumer,East,Florida,Furniture,Tables,446.89,2.0,0.0,134.31
ORD-10168,2024-10-01,2024-10-02,Standard Class,Customer_146,Corporate,South,New York,Technology,Phones,699.68,10.0,0.2,109.49
ORD-10169,2024-05-20,2024-05-23,Standard Class,Customer_185,Corporate,South,New York,Technology,Accessories,578.63,14.0,0.1,186.03
ORD-10170,2023-12-14,2023-12-18,,Customer_129,Consumer,South,California,Furniture,Bookcases,596.04,12.0,0.0,212.28
ORD-10171,2024-04-17,2024-04-18,,Customer_216,Consumer,West,New York,Office Supplies,Art,8.14,10.0,0.0,1.95
ORD-10172,2023-08-19,2023-08-21,Standard Class,Customer_77,Consumer,South,Georgia,Technology,Phones,592.7,1.0,0.0,216.16
ORD-10173,2023-07-09,2023-07-12,First Class,Customer_73,Corporate,West,Washington,Furniture,Chairs,250.65,4.0,0.4,-10.82
ORD-10174,2023-08-13,2023-08-19,Standard Class,Customer_40,Consumer,West,Washington,Technology,Copiers,364.39,7.0,0.0,152.52
ORD-10175,2024-01-20,2024-01-22,Standard Class,Customer_228,Consumer,Central,Washington,Office Supplies,Art,59.87,14.0,0.0,21.68
ORD-10176,2024-01-12,2024-01-14,Standard Class,Customer_139,Corporate,South,California,Furniture,Chairs,415.29,9.0,,111.12
ORD-10177,2023-10-10,2023-10-13,,Customer_72,Corporate,South,California,Technology,Accessories,318.65,3.0,0.0,84.8
ORD-10178,2024-09-24,2024-09-26,First Class,Customer_118,Corporate,South,Georgia,Office Supplies,Paper,50.19,,0.0,16.64
ORD-10179,2024-09-19,2024-09-22,Standard Class,Customer_58,Consumer,West,Illinois,Office Supplies,Art,9.42,11.0,0.0,4.03
ORD-10180,2023-09-16,2023-09-17,First Class,Customer_80,Home Office,West,Pennsylvania,Furniture,Tables,69.23,7.0,0.1,13.7
ORD-10181,2023-12-25,2023-12-28,Second Class,Customer_287,Home Office,South,Washington,Furniture,Chairs,,7.0,0.15,114.8
ORD-10182,2024-12-10,2024-12-13,Standard Class,Customer_26,Corporate,West,New York,Office Supplies,Storage,110.37,7.0,0.1,20.43
ORD-10183,2024-03-31,2024-04-04,Standard Class,Customer_0,Corporate,West,Texas,Office Supplies,Storage,102.98,2.0,0.1,17.02
ORD-10184,2024-02-15,2024-02-18,Standard Class,Customer_105,Consumer,East,Pennsylvania,Office Supplies,Paper,58.11,6.0,0.4,-0.98
ORD-10185,2024-10-10,2024-10-13,Standard Class,Customer_101,Home Office,East,Georgia,Technology,Copiers,1010.75,2.0,0.1,276.85
ORD-10186,2023-11-14,2023-11-20,Second Class,Customer_257,Consumer,South,Illinois,Office Supplies,Art,,6.0,0.0,62.52
ORD-10187,2024-11-07,2024-11-08,Second Class,Customer_225,Consumer,South,New York,Furniture,Furnishings,632.79,13.0,0.0,198.42
ORD-10188,2023-08-13,2023-08-17,Standard Class,Customer_276,Consumer,East,Florida,Office Supplies,Art,49.29,10.0,0.1,12.62
ORD-10189,2023-08-22,2023-08-28,Standard Class,Customer_178,Consumer,West,Illinois,Technology,Copiers,599.05,3.0,0.2,
ORD-10190,2024-11-14,2024-11-19,Standard Class,Customer_273,Home Office,West,Washington,Office Supplies,Paper,50.23,14.0,0.0,20.04
ORD-10191,2024-10-25,2024-10-26,Second Class,Customer_107,Corporate,Central,Washington,Office Supplies,Art,58.24,2.0,0.2,11.76
ORD-10192,2024-01-09,2024-01-10,Standard Class,Customer_104,Corporate,South,Florida,Office Supplies,Storage,79.76,12.0,0.0,37.41
ORD-10193,2024-11-02,2024-11-07,Standard Class,Customer_126,Corporate,South,Georgia,Office Supplies,Binders,141.74,14.0,0.1,49.46
ORD-10194,2024-08-30,2024-09-02,Standard Class,Customer_191,Consumer,South,Michigan,Office Supplies,Storage,65.05,6.0,0.2,12.89
ORD-10195,2024-04-16,2024-04-22,Second Class,Customer_181,Consumer,Central,Illinois,Technology,Machines,107.3,2.0,0.0,33.52
ORD-10196,2023-08-21,2023-08-23,First Class,Customer_38,Corporate,Central,Florida,Office Supplies,Binders,196.25,5.0,0.15,45.41
ORD-10197,2024-11-22,2024-11-26,Standard Class,Customer_30,Corporate,West,Georgia,Technology,Machines,325.33,2.0,0.0,110.98
